"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"PTK2B",3.36179847024152e-14,0.336916909793011,0.266,0.198,1.9807716586663e-09
"ERO1A",6.94777650129469e-14,0.284983181942394,0.337,0.263,4.09362991456283e-09
"SEC14L2",9.51041597955651e-14,0.287433031779938,0.253,0.185,5.6035370951547e-09
"SLC25A37",1.0413671342907e-13,0.271671443495902,0.383,0.306,6.13573515524081e-09
"CLDN4",1.14927951927863e-13,0.46088194963487,0.311,0.246,6.77155492758967e-09
"APBB2",1.3150418155744e-13,0.287935060170871,0.305,0.234,7.74822637736436e-09
"TP53BP2",1.32059308084261e-13,0.346295783072259,0.263,0.197,7.78093443232463e-09
"ANXA3",1.57331421253583e-13,0.253844782846835,0.391,0.311,9.26996734026113e-09
"VEGFA",1.94671811799727e-13,0.318358951293746,0.333,0.26,1.14700631512399e-08
"BACH2",3.33878105039662e-13,0.307391357847687,0.367,0.295,1.96720979489369e-08
"PVT1",3.67925342453305e-13,-0.271677274614283,0.516,0.553,2.16781611773487e-08
"ATP9A",5.10330450477662e-13,0.27121816206594,0.295,0.226,3.00686701421439e-08
"BCAR3",5.53499544462191e-13,0.293294355138332,0.331,0.259,3.26121931597123e-08
"CHST11",1.18859755527018e-12,0.267735612380006,0.448,0.375,7.00321679565189e-08
"SQLE",1.6497763028434e-12,0.279694112095811,0.323,0.254,9.72048197635331e-08
"STK38L",1.65938852513093e-12,0.341394247044135,0.259,0.197,9.77711719007142e-08
"CFAP20DC",2.06764693002076e-12,0.258510343965525,0.314,0.243,1.21825757116823e-07
"USP53",2.07382316028398e-12,0.295878967462564,0.299,0.233,1.22189660603932e-07
"PLSCR1",3.02748599624604e-12,0.301303190366429,0.357,0.288,1.78379474898817e-07
"CFLAR",5.10149210335594e-12,0.304583919906818,0.27,0.209,3.00579914729732e-07
"C3orf52",5.92596352221667e-12,0.255341265639199,0.359,0.287,3.49157770729006e-07
"NRG1",6.68501668494542e-12,-0.340330195430274,0.458,0.504,3.93881183076984e-07
"ABL2",4.84930062887995e-11,0.266990014924937,0.421,0.351,2.85720793053606e-06
"VWA8",6.1281218035037e-11,-0.35953226743843,0.317,0.364,3.61068936662438e-06
"LINC01619",7.14289140312083e-11,0.285316110189908,0.383,0.319,4.20859161471879e-06
"LDHB",7.52765538629253e-11,-0.250376537233877,0.5,0.531,4.43529455360356e-06
"RAB32",1.46778073892738e-10,0.261344119045168,0.252,0.195,8.64816411376013e-06
"RSL1D1",2.74743099815652e-10,-0.255043302256234,0.475,0.51,1.61878634411382e-05
"TENM2",2.3007910910334e-09,-0.260279277345111,0.585,0.61,0.000135562611083688
"CBR1",3.50095632023496e-09,-0.264842343564884,0.455,0.484,0.000206276346388244
"AKR1B10",6.65964458795781e-09,-0.357803453836415,0.269,0.312,0.000392386259122474
"KIF13A",1.12351525583059e-08,-0.333683003977439,0.289,0.329,0.000661975188735385
"IL1RAP",6.31966604370597e-07,-0.283976870925302,0.427,0.447,0.0372354723295155
