"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"RPLP1P4",0,1.29069639185968,0.947,0.511,0,"0","RPLP1P4"
"FAUP1",0,1.39349006609674,0.899,0.467,0,"0","FAUP1"
"RPS26P2",0,1.40975180761493,0.869,0.438,0,"0","RPS26P2"
"RPL17P34",0,1.37848847295923,0.788,0.397,0,"0","RPL17P34"
"RPS27AP16",0,1.15990042524449,0.847,0.46,0,"0","RPS27AP16"
"RPS7P10",0,1.3535227765446,0.789,0.403,0,"0","RPS7P10"
"RPS2P33",0,1.00035016042829,0.841,0.456,0,"0","RPS2P33"
"RPS3P3",0,1.32288019325321,0.717,0.371,0,"0","RPS3P3"
"RPS16P10",0,1.28175888135472,0.724,0.381,0,"0","RPS16P10"
"RPS3AP26",0,1.27289617216704,0.704,0.363,0,"0","RPS3AP26"
"LOC100287430",0,1.34326212985637,0.698,0.36,0,"0","LOC100287430"
"RPL7P32",0,1.34475875636714,0.68,0.345,0,"0","RPL7P32"
"HSPA5P1",0,2.07225383641947,0.557,0.224,0,"0","HSPA5P1"
"RPL23P6",0,1.38773257581178,0.666,0.335,0,"0","RPL23P6"
"RACK1P1",0,1.25292892905414,0.691,0.366,0,"0","RACK1P1"
"CHIC2",0,0.969901992528652,0.866,0.56,0,"0","CHIC2"
"RPL6P10",0,1.26361699056274,0.644,0.342,0,"0","RPL6P10"
"RPS2P18",0,0.986824865511939,0.685,0.385,0,"0","RPS2P18"
"RPS24P19",0,1.37713144452968,0.62,0.322,0,"0","RPS24P19"
"RPS27P9",0,1.38409409021768,0.603,0.306,0,"0","RPS27P9"
"RPL10P16",0,1.32526210096604,0.634,0.344,0,"0","RPL10P16"
"TPT1P4",0,1.16070981039494,0.644,0.354,0,"0","TPT1P4"
"RPL27AP5",0,1.29259960707655,0.605,0.315,0,"0","RPL27AP5"
"RPS27AP15",0,1.17599867779704,0.627,0.339,0,"0","RPS27AP15"
"RPL13P12",0,1.35295425395828,0.737,0.45,0,"0","RPL13P12"
"RPS10P16",0,1.28571280033332,0.605,0.318,0,"0","RPS10P16"
"EIF1P5",0,1.66837844442391,0.519,0.233,0,"0","EIF1P5"
"RPS7P8",0,1.32567229312002,0.585,0.301,0,"0","RPS7P8"
"RPL27AP6",0,1.28461478118539,0.633,0.353,0,"0","RPL27AP6"
"RPL37P5",0,1.35315766167727,0.582,0.302,0,"0","RPL37P5"
"RPS24P15",0,1.40419907235732,0.565,0.285,0,"0","RPS24P15"
"RPL35AP34",0,1.48521726317633,0.541,0.263,0,"0","RPL35AP34"
"RPL32P18",0,1.27664050004153,0.614,0.338,0,"0","RPL32P18"
"VIM",0,0.692975821566046,0.778,0.506,0,"0","VIM"
"RPLP2P5",0,1.28438779999867,0.58,0.308,0,"0","RPLP2P5"
"MTRNR2L10",0,1.41517106349451,0.533,0.262,0,"0","MTRNR2L10"
"RPL30P14",0,1.54797633701699,0.515,0.247,0,"0","RPL30P14"
"RPS12P4",0,1.2873638620038,0.562,0.297,0,"0","RPS12P4"
"RPS19P1",0,1.26596549105567,0.557,0.3,0,"0","RPS19P1"
"RPL17P9",0,1.37534146222115,0.537,0.28,0,"0","RPL17P9"
"UBB",0,0.88860966475645,0.894,0.644,0,"0","UBB"
"HSPA8P1",0,1.10594824894668,0.576,0.326,0,"0","HSPA8P1"
"RPL32P20",0,1.3703233610508,0.511,0.262,0,"0","RPL32P20"
"RPL32P32",0,1.37039048648974,0.511,0.265,0,"0","RPL32P32"
"RPS3P4",0,1.31259717310342,0.544,0.3,0,"0","RPS3P4"
"RPL19P6",0,1.12691628303903,0.555,0.316,0,"0","RPL19P6"
"NPM1P4",0,1.6048213183266,0.44,0.201,0,"0","NPM1P4"
"RPS8P4",0,1.19122933358206,0.531,0.295,0,"0","RPS8P4"
"MT1M",0,1.78793209207108,0.389,0.155,0,"0","MT1M"
"RPS20P10",0,1.17781624139049,0.522,0.29,0,"0","RPS20P10"
"RPL15P5",0,1.26454254097006,0.48,0.254,0,"0","RPL15P5"
"GAPDHP65",0,1.64256592085514,0.398,0.174,0,"0","GAPDHP65"
"RPL5P17",0,1.26567130501877,0.481,0.258,0,"0","RPL5P17"
"RPL37AP8",0,1.25656652167164,0.488,0.27,0,"0","RPL37AP8"
"RPL22P2",0,1.29243251376856,0.456,0.239,0,"0","RPL22P2"
"RPSAP19",0,1.19397455141142,0.478,0.262,0,"0","RPSAP19"
"RPL23AP44",0,1.25635798056065,0.454,0.243,0,"0","RPL23AP44"
"RPL21P41",0,1.20997901716775,0.464,0.257,0,"0","RPL21P41"
"RPL13AP24",0,1.23904296604438,0.449,0.247,0,"0","RPL13AP24"
"RPS10P19",0,1.23792648479753,0.525,0.325,0,"0","RPS10P19"
"RPL30P4",0,1.47985632346456,0.386,0.186,0,"0","RPL30P4"
"RPL7P45",0,1.27944220390063,0.419,0.219,0,"0","RPL7P45"
"RPL39P5",0,1.3595986900802,0.405,0.206,0,"0","RPL39P5"
"RPS8P5",0,1.41509618292349,0.396,0.197,0,"0","RPS8P5"
"RPS18P5",0,1.18546064974449,0.582,0.383,0,"0","RPS18P5"
"RPL10P1",0,1.34839350182545,0.398,0.202,0,"0","RPL10P1"
"RPL24P8",0,1.485392596307,0.396,0.202,0,"0","RPL24P8"
"RPS8P8",0,1.23970914491194,0.441,0.249,0,"0","RPS8P8"
"RPL32P21",0,1.36708022769124,0.392,0.202,0,"0","RPL32P21"
"RPL31P4",0,1.29710623906097,0.417,0.227,0,"0","RPL31P4"
"RPL7P56",0,1.31995663313591,0.397,0.21,0,"0","RPL7P56"
"RPL13AP25",0,1.19377437400098,0.454,0.267,0,"0","RPL13AP25"
"ESD",0,1.61731731207989,0.538,0.355,0,"0","ESD"
"RPL23P8",0,1.3737726172986,0.376,0.194,0,"0","RPL23P8"
"RPL35AP21",0,1.61665519362681,0.326,0.145,0,"0","RPL35AP21"
"EIF1P7",0,1.61904703054526,0.331,0.152,0,"0","EIF1P7"
"EIF1P4",0,1.64858535203947,0.297,0.127,0,"0","EIF1P4"
"RPL9P8",0,1.2955831548273,0.535,0.387,0,"0","RPL9P8"
"RPS13",0,0.5908041131606,0.841,0.904,0,"0","RPS13"
"HSPA5",0,1.67081678947944,0.831,0.788,0,"0","HSPA5"
"RPLP0",0,0.667019228172363,0.866,0.907,0,"0","RPLP0"
"MIF",0,0.707739137256014,0.834,0.872,0,"0","MIF"
"RPS4X",0,0.743050721475026,0.878,0.915,0,"0","RPS4X"
"RPS24",0,0.748453994995335,0.875,0.91,0,"0","RPS24"
"PABPC1",0,0.689336307716852,0.914,0.943,0,"0","PABPC1"
"UBA52",0,1.05904015206998,0.963,0.936,0,"0","UBA52"
"RPS23",0,0.789056078458364,0.875,0.9,0,"0","RPS23"
"EIF1",0,0.999144274403573,0.85,0.873,0,"0","EIF1"
"RPL34",0,0.73502790162514,0.936,0.958,0,"0","RPL34"
"RPS19",0,0.626424395704101,0.95,0.967,0,"0","RPS19"
