"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"EIF1P7",0,1.54970520262992,0.345,0.156,0,"0","EIF1P7"
"RPL3P4",0,1.15855678573984,0.557,0.373,0,"0","RPL3P4"
"NPM1P32",0,1.49690945077168,0.329,0.146,0,"0","NPM1P32"
"EIF1P4",0,1.59400567233009,0.308,0.131,0,"0","EIF1P4"
"RPL9P8",0,1.28418708625698,0.556,0.386,0,"0","RPL9P8"
"HSPA5",0,1.61800541917745,0.846,0.785,0,"0","HSPA5"
"RPS11",0,0.66450297260671,0.81,0.851,0,"0","RPS11"
"RPS13",0,0.597569400773478,0.856,0.896,0,"0","RPS13"
"UBA52",0,1.05143277646448,0.971,0.935,0,"0","UBA52"
"NAP1L1",0,0.843864130184619,0.736,0.707,0,"0","NAP1L1"
"RPS5",0,0.979434161737091,0.887,0.86,0,"0","RPS5"
"RPS21",0,1.02816559348802,0.882,0.861,0,"0","RPS21"
"RPLP0",0,0.656112747785031,0.88,0.901,0,"0","RPLP0"
"PABPC1",0,0.667750524522421,0.921,0.94,0,"0","PABPC1"
"MIF",0,0.713453632671721,0.848,0.866,0,"0","MIF"
"FAU",0,1.00370184564171,0.955,0.939,0,"0","FAU"
"DDX5",0,0.550562650789782,0.951,0.939,0,"0","DDX5"
"RPL23",0,0.905013454751143,0.955,0.943,0,"0","RPL23"
"RPS4X",0,0.763281852268134,0.896,0.907,0,"0","RPS4X"
"RPS24",0,0.773226107003852,0.893,0.903,0,"0","RPS24"
"RPL30",0,0.988094656236282,0.989,0.98,0,"0","RPL30"
"RPS20",0,0.852950759897713,0.962,0.953,0,"0","RPS20"
"RPL37",0,0.886646132641635,0.962,0.953,0,"0","RPL37"
"RPL34",0,0.73597191431967,0.947,0.954,0,"0","RPL34"
"RPS14",0,0.887365131882988,0.991,0.985,0,"0","RPS14"
"RPL18A",0,0.873937208553583,0.956,0.951,0,"0","RPL18A"
"RACK1",0,0.844844702583976,0.962,0.957,0,"0","RACK1"
"RPS19",0,0.651967159289165,0.959,0.963,0,"0","RPS19"
