"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,6.46370756425733,0.94,0.09,0,"0","RPLP1P4"
0,6.77024818562689,0.876,0.052,0,"0","FAUP1"
0,6.65854098220398,0.853,0.052,0,"0","S100A4"
0,6.62778613689649,0.837,0.04,0,"0","RPS26P2"
0,6.81410512924203,0.833,0.038,0,"0","RPS2P33"
0,5.88460285299212,0.876,0.104,0,"0","VIM"
0,6.14016712558937,0.824,0.071,0,"0","RPS27AP16"
0,5.56103850874117,0.889,0.178,0,"0","CHIC2"
0,6.86225266369562,0.738,0.034,0,"0","RPS7P10"
0,6.69758767827164,0.725,0.03,0,"0","RPL17P34"
0,6.65243935920965,0.697,0.026,0,"0","RPS2P18"
0,6.69822513877476,0.668,0.028,0,"0","RACK1P1"
0,6.64300206442608,0.667,0.028,0,"0","RPS3AP26"
0,6.48206449616469,0.675,0.041,0,"0","RPS16P10"
0,6.82606781211242,0.643,0.028,0,"0","TPT1P4"
0,7.0556217900899,0.638,0.025,0,"0","RPL7P32"
0,6.44533224649379,0.643,0.037,0,"0","RPS3P3"
0,6.47225368466402,0.642,0.037,0,"0","LOC100287430"
0,6.50873373719302,0.626,0.032,0,"0","RPL6P10"
0,6.51240675936234,0.602,0.027,0,"0","RPS27AP15"
0,6.77743781391275,0.595,0.028,0,"0","RPS27P9"
0,6.9153914359747,0.582,0.023,0,"0","RPL27AP5"
0,6.3454145609859,0.583,0.032,0,"0","RPS24P19"
0,6.35966305586796,0.582,0.032,0,"0","RPL23P6"
0,6.85026007821942,0.567,0.024,0,"0","RPL19P6"
0,6.88119447246092,0.561,0.021,0,"0","HSPA8P1"
0,6.72838529722898,0.558,0.021,0,"0","RPS10P16"
0,5.8595861391103,0.594,0.057,0,"0","RPL32P18"
0,6.48800817965924,0.557,0.027,0,"0","RPLP2P5"
0,4.61342034573352,0.92,0.395,0,"0","UBB"
0,5.85295560101215,0.582,0.058,0,"0","RPL10P16"
0,6.88219539174719,0.544,0.023,0,"0","RPL37P5"
0,6.57863064660538,0.544,0.023,0,"0","RPS8P4"
0,6.57721793197317,0.541,0.022,0,"0","RPS7P8"
0,6.53771531979368,0.538,0.025,0,"0","RPS12P4"
0,5.29500787594814,0.588,0.087,0,"0","RPL27AP6"
0,6.53821619510169,0.522,0.024,0,"0","RPS19P1"
0,6.55725087046551,0.513,0.021,0,"0","RPL41P6"
0,6.60765128756709,0.506,0.023,0,"0","RPS20P10"
0,4.61410129752878,0.672,0.192,0,"0","RPL13P12"
0,6.47821153152893,0.498,0.022,0,"0","RPS24P15"
0,7.02242644331831,0.487,0.017,0,"0","RPL21P41"
0,6.90660967999984,0.484,0.017,0,"0","RPL32P20"
0,6.60270808251744,0.485,0.02,0,"0","RPSAP19"
0,6.53564242319996,0.483,0.023,0,"0","HSP90AA2P"
0,6.92070085185002,0.475,0.016,0,"0","RPL22P2"
0,6.44141915236824,0.477,0.023,0,"0","MTRNR2L10"
0,6.7563192187275,0.462,0.019,0,"0","RPL35AP34"
0,7.01920704217481,0.454,0.017,0,"0","ACTBP2"
0,6.42841209226198,0.458,0.021,0,"0","RPL10AP4"
0,5.86420133551094,0.482,0.045,0,"0","RPL17P9"
0,6.57178994428876,0.458,0.026,0,"0","RPL37AP8"
0,6.76007191013054,0.445,0.017,0,"0","RPL15P5"
0,5.19872238545598,0.49,0.069,0,"0","RPS3P4"
0,4.47337664440192,0.573,0.159,0,"0","RPS18P5"
0,6.3872851617294,0.434,0.021,0,"0","RPS16P7"
0,6.39424960527188,0.435,0.024,0,"0","RPL32P32"
0,7.33996568008085,0.423,0.014,0,"0","HSPA5P1"
0,6.72735417911246,0.426,0.018,0,"0","RPL5P17"
0,5.80828904178257,0.447,0.04,0,"0","RPS8P8"
0,6.56926167789497,0.421,0.018,0,"0","EIF1P5"
0,7.27045572343149,0.415,0.014,0,"0","RPL23AP44"
0,6.90834904701344,0.408,0.017,0,"0","RPL30P14"
0,6.57190102754154,0.406,0.017,0,"0","RPS15P2"
0,6.08720870520306,0.411,0.022,0,"0","RPL13AP24"
0,6.53127229137,0.402,0.017,0,"0","COX5BP1"
0,6.9788242468136,0.397,0.015,0,"0","RPS12P32"
0,3.75322088140093,0.656,0.291,0,"0","TUBA1A"
0,3.45034720129418,0.831,0.563,0,"0","H2AZ1"
0,3.14062566982573,0.657,0.429,0,"0","TUBA4A"
0,3.13941731472093,0.973,0.873,0,"0","DDX5"
0,1.72533240885827,0.822,0.888,0,"0","LGALS1"
0,3.28819493429216,0.969,0.903,0,"0","H3-3B"
0,1.54808561372601,0.841,0.904,0,"0","RPS21"
0,1.56318193260565,0.836,0.897,0,"0","RPS5"
0,1.48091726618195,0.868,0.924,0,"0","RPLP0"
0,0.951705414377434,0.938,0.991,0,"0","RPL28"
0,0.924017204575512,0.942,0.994,0,"0","RPS19"
0,1.14186689333987,0.932,0.983,0,"0","RPL34"
0,2.36550436461107,0.956,0.906,0,"0","UBA52"
0,1.17310435411609,0.936,0.986,0,"0","RACK1"
0,1.33731718770158,0.924,0.971,0,"0","RPL23"
0,1.23984633756454,0.927,0.972,0,"0","RPL18A"
0,1.02564331212532,0.945,0.986,0,"0","RPL11"
0,3.12073666131816,0.957,0.919,0,"0","S100A6"
0,1.1971269806826,0.951,0.986,0,"0","RPL19"
0,1.46995989452829,0.948,0.977,0,"0","RPL37"
0,2.29036036128063,0.825,0.796,0,"0","YBX1"
0,1.7837335844491,0.92,0.947,0,"0","FAU"
0,2.07770580548062,0.784,0.76,0,"0","CALM1"
0,2.16070611812008,0.776,0.796,0,"0","HSPA5"
0,1.27833709947712,0.974,0.991,0,"0","RPL30"
0,2.00999122078435,0.919,0.931,0,"0","PABPC1"
0,1.26472183874962,0.979,0.991,0,"0","RPS14"
0,1.49512978012461,0.988,0.991,0,"0","RPL8"
0,2.00945911638157,0.95,0.951,0,"0","RPS20"
9.34986215655527e-306,7.00964249284554,0.389,0.014,5.50893878264236e-301,"0","RPL7P45"
6.55137458462281e-305,2.19781256263003,0.723,0.699,3.86006990525976e-300,"0","NAP1L1"
9.22971146826404e-305,2.90094485112481,0.694,0.569,5.43814599710117e-300,"0","NFKBIA"
3.38785195675786e-301,6.72390983369169,0.385,0.014,1.99612237292173e-296,"0","RPS15AP25"
6.87996655890523e-298,6.6888234628839,0.383,0.014,4.05367629650696e-293,"0","RPL23P8"
1.93109669468105e-296,6.77838648632457,0.378,0.012,1.13780217250608e-291,"0","NPM1P4"
6.53368461230618e-296,5.3292699994125,0.428,0.055,3.8496469735708e-291,"0","RPL13AP25"
6.29276529437322e-293,6.73951403515689,0.382,0.017,3.7076973114447e-288,"0","H2AW"
