"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,6.18922267552934,0.972,0.087,0,"0","RPLP1P4"
0,6.26130127493595,0.94,0.067,0,"0","FAUP1"
0,6.39500503885892,0.915,0.052,0,"0","RPS26P2"
0,6.36274546608953,0.916,0.053,0,"0","RPS2P33"
0,6.13625689889996,0.918,0.072,0,"0","RPS27AP16"
0,6.31944358007954,0.867,0.045,0,"0","RPL17P34"
0,6.48870783993001,0.869,0.052,0,"0","RPS7P10"
0,6.38331992393377,0.832,0.047,0,"0","RPS3P3"
0,6.34336961909659,0.831,0.051,0,"0","RPS16P10"
0,6.49809555149045,0.789,0.039,0,"0","RPS2P18"
0,6.22271684908169,0.79,0.045,0,"0","LOC100287430"
0,6.44345886062551,0.783,0.038,0,"0","RACK1P1"
0,6.52871196682358,0.783,0.041,0,"0","RPS3AP26"
0,6.25601218811899,0.779,0.038,0,"0","RPL7P32"
0,6.06394987904157,0.772,0.048,0,"0","RPL23P6"
0,6.47495476377057,0.755,0.038,0,"0","RPL6P10"
0,6.3972755948089,0.741,0.035,0,"0","RPS27AP15"
0,6.29081238020998,0.746,0.042,0,"0","TPT1P4"
0,6.22948207948702,0.748,0.054,0,"0","S100A4"
0,6.24658639049956,0.733,0.041,0,"0","RPS24P19"
0,6.13121446472825,0.713,0.035,0,"0","RPS10P16"
0,5.89488751239737,0.743,0.076,0,"0","RPL27AP6"
0,6.51817084883538,0.701,0.035,0,"0","RPLP2P5"
0,6.34781265037929,0.703,0.038,0,"0","RPL27AP5"
0,6.42078506044414,0.705,0.041,0,"0","RPS27P9"
0,5.04536297231606,0.926,0.264,0,"0","CHIC2"
0,6.3815876503003,0.693,0.031,0,"0","RPS7P8"
0,4.33088005662178,0.828,0.173,0,"0","VIM"
0,5.5945342960627,0.738,0.084,0,"0","RPL10P16"
0,6.48737842857917,0.685,0.033,0,"0","RPS24P15"
0,6.57161103706691,0.679,0.029,0,"0","HSPA8P1"
0,5.78893223787934,0.715,0.071,0,"0","RPL32P18"
0,6.102801188168,0.685,0.042,0,"0","RPL37P5"
0,6.32094172956078,0.681,0.039,0,"0","RPS19P1"
0,6.18423217211508,0.67,0.036,0,"0","RPL19P6"
0,4.88044619817601,0.828,0.195,0,"0","RPL13P12"
0,6.0817618236853,0.66,0.04,0,"0","RPS12P4"
0,6.07205921990282,0.647,0.039,0,"0","RPL35AP34"
0,6.29616551956123,0.639,0.033,0,"0","RPS20P10"
0,6.49454868811988,0.633,0.028,0,"0","RPS8P4"
0,6.16845153240775,0.64,0.038,0,"0","RPL32P32"
0,6.11769847342085,0.633,0.038,0,"0","RPL30P14"
0,6.53385213756493,0.617,0.027,0,"0","RPL5P17"
0,4.79192822966053,0.934,0.345,0,"0","UBB"
0,6.08124986963837,0.626,0.041,0,"0","RPL37AP8"
0,6.02185995850325,0.626,0.046,0,"0","RPL17P9"
0,6.71123133212658,0.606,0.029,0,"0","HSPA5P1"
0,6.31834894819779,0.605,0.029,0,"0","RPL32P20"
0,5.56802171967435,0.65,0.079,0,"0","RPS3P4"
0,6.05118398098997,0.605,0.039,0,"0","MTRNR2L10"
0,6.53845435979147,0.587,0.025,0,"0","RPL23AP44"
0,6.29838878206335,0.59,0.028,0,"0","RPL15P5"
0,6.46392929653931,0.578,0.028,0,"0","RPL13AP24"
0,6.30237824444499,0.575,0.027,0,"0","RPL10AP4"
0,6.23371673140754,0.571,0.027,0,"0","RPSAP19"
0,6.50668871829541,0.567,0.025,0,"0","EIF1P5"
0,6.52258914502159,0.563,0.022,0,"0","RPL22P2"
0,6.62202066422323,0.558,0.022,0,"0","RPL21P41"
0,6.6126047682712,0.557,0.024,0,"0","ACTBP2"
0,6.1058134768853,0.543,0.033,0,"0","HSP90AA2P"
0,6.31482804662501,0.538,0.031,0,"0","RPL21P110"
0,6.37304094638995,0.528,0.026,0,"0","RPS16P7"
0,4.66869554007053,0.631,0.132,0,"0","RPS10P19"
0,4.38745197983161,0.686,0.191,0,"0","RPS18P5"
0,6.69747803641703,0.514,0.02,0,"0","RPL7P45"
0,6.02591432947756,0.527,0.035,0,"0","RPS8P8"
0,6.15117070087227,0.517,0.026,0,"0","RPL41P6"
0,6.43493219591637,0.513,0.022,0,"0","RPL7P56"
0,6.35091532375389,0.514,0.023,0,"0","RPL39P5"
0,5.60468157372876,0.532,0.048,0,"0","RPL31P4"
0,5.14836950472256,0.566,0.083,0,"0","RPL13AP25"
0,6.02344983176888,0.507,0.03,0,"0","RPL32P21"
0,6.46737748902084,0.49,0.018,0,"0","NPM1P4"
0,6.15863097386763,0.497,0.027,0,"0","RPS12P32"
0,6.19562021118121,0.491,0.022,0,"0","RPS15AP25"
0,5.86624036439251,0.509,0.043,0,"0","EEF1B2P6"
0,6.148167341907,0.484,0.023,0,"0","TPT1P10"
0,6.55597271203722,0.477,0.021,0,"0","RPL3P2"
0,6.31377077461758,0.479,0.023,0,"0","RPL10P1"
0,6.44963521142403,0.479,0.023,0,"0","RPS8P5"
0,6.44533964094459,0.473,0.02,0,"0","COX5BP1"
0,5.51207486005301,0.5,0.05,0,"0","RPL24P8"
0,6.31139108483979,0.475,0.026,0,"0","RPL30P4"
0,4.17863817441185,0.65,0.205,0,"0","RPL3P4"
0,4.59928631070485,0.519,0.079,0,"0","FN1"
0,6.10612223401715,0.464,0.027,0,"0","GAPDHP65"
0,6.41575648291422,0.454,0.022,0,"0","RPS15P2"
0,6.56829384380885,0.448,0.018,0,"0","RPL3P9"
0,5.52384781228659,0.473,0.047,0,"0","RPS8P1"
0,6.38375259194768,0.447,0.022,0,"0","RPS20P6"
0,6.43554684171993,0.444,0.023,0,"0","RPL23P8"
0,6.45342732750594,0.433,0.016,0,"0","RPL17P22"
0,6.09991096475348,0.436,0.023,0,"0","RPL10AP2"
0,6.62550741129968,0.431,0.02,0,"0","RPL12P2"
0,5.80945568393429,0.443,0.034,0,"0","RPL37P11"
0,6.48236947761778,0.427,0.019,0,"0","RPS29P6"
0,6.38864477575424,0.424,0.02,0,"0","RPL23AP18"
0,5.61355135035628,0.442,0.039,0,"0","RPS19P3"
0,5.56741976626088,0.444,0.044,0,"0","RPL7AP66"
0,6.32524352520585,0.42,0.023,0,"0","RPL10P15"
0,6.1436262917398,0.412,0.02,0,"0","UBA52P5"
0,5.76782505315949,0.424,0.037,0,"0","HSP90AB3P"
0,6.23984925218666,0.409,0.023,0,"0","PDGFRA"
0,6.53221397759517,0.4,0.017,0,"0","RPL35AP21"
0,6.64274237968936,0.398,0.016,0,"0","RPS4XP13"
0,6.27819074727478,0.399,0.02,0,"0","RPL35AP32"
0,5.28109699857195,0.431,0.053,0,"0","SLC25A4"
0,4.5318687436945,0.482,0.104,0,"0","RPS15P4"
0,3.70300797525751,0.633,0.266,0,"0","RPL9P8"
0,6.33568701186794,0.385,0.018,0,"0","RPS7P6"
0,5.78218433440364,0.4,0.033,0,"0","EIF1P7"
0,3.91111366938215,0.548,0.183,0,"0","RPS12P22"
0,6.37101590302834,0.379,0.018,0,"0","RPL34P16"
0,6.3189656851744,0.377,0.017,0,"0","MT1M"
0,6.38586439108665,0.375,0.017,0,"0","RPS10P29"
0,6.19537627518026,0.374,0.016,0,"0","COL1A2"
0,6.50240522345707,0.375,0.018,0,"0","H2AW"
0,6.68140036357754,0.365,0.014,0,"0","RPS23P7"
0,6.44813904742613,0.365,0.016,0,"0","RPS6P6"
0,3.23942763221303,0.711,0.367,0,"0","TUBA1A"
0,6.38984286202098,0.361,0.017,0,"0","PPIAP74"
0,6.79122553943523,0.356,0.013,0,"0","NPM1P32"
0,6.46115489747015,0.355,0.017,0,"0","RPL13AP22"
0,6.12288963688966,0.355,0.017,0,"0","RPL32P12"
0,3.462320605172,0.585,0.285,0,"0","ESD"
0,3.13170758636934,0.64,0.365,0,"0","KRTCAP2"
0,2.94660193905135,0.688,0.423,0,"0","CCT2"
0,2.95674754375764,0.661,0.409,0,"0","PCBP1"
0,3.31696641814903,0.848,0.596,0,"0","H2AZ1"
0,3.02927502747165,0.652,0.409,0,"0","HNRNPA3"
0,2.82251531969803,0.655,0.416,0,"0","VEGFA"
0,2.82324838047705,0.887,0.686,0,"0","YBX1"
0,2.59088552117663,0.722,0.535,0,"0","TUBA4A"
0,2.5547795404564,0.814,0.651,0,"0","NAP1L1"
0,2.37980139220747,0.739,0.599,0,"0","SERBP1"
0,2.86248854808045,0.876,0.776,0,"0","HSPA5"
0,2.14442864816209,0.92,0.859,0,"0","RPS5"
0,2.52737429506911,0.984,0.923,0,"0","UBA52"
0,2.79950895660983,0.97,0.917,0,"0","DDX5"
0,1.1875807653161,0.885,0.938,0,"0","RPL37A"
0,1.25013550770824,0.871,0.919,0,"0","RPS11"
0,1.97833593007235,0.92,0.879,0,"0","RPS21"
0,1.223731852453,0.9,0.937,0,"0","MIF"
0,1.69122975220731,0.788,0.823,0,"0","EEF1G"
0,1.83864798536331,0.98,0.95,0,"0","RPL18A"
0,1.19390406733521,0.916,0.946,0,"0","RPS13"
0,2.82461367411461,0.966,0.94,0,"0","H3-3B"
0,1.41155780112294,0.867,0.892,0,"0","RPS3A"
0,2.18716548793233,0.975,0.954,0,"0","RPS20"
0,1.68977873626446,0.933,0.913,0,"0","RPS23"
0,1.3250023157997,0.931,0.951,0,"0","RPS24"
0,1.75343373367566,0.784,0.803,0,"0","GNAS"
0,2.00430950044327,0.972,0.956,0,"0","FAU"
0,1.75989203867765,0.928,0.913,0,"0","RPLP0"
0,1.65488358510342,0.979,0.966,0,"0","RPL19"
0,1.78838527082931,0.807,0.819,0,"0","HSP90B1"
0,2.011587237557,0.997,0.986,0,"0","RPL8"
0,1.84452238095746,0.992,0.981,0,"0","RPS14"
0,1.9819646476068,0.96,0.951,0,"0","PABPC1"
0,1.81936294884971,0.968,0.961,0,"0","RPL23"
0,0.900470710560965,0.979,0.986,0,"0","RPL13"
0,1.21252415183603,0.972,0.978,0,"0","RPS19"
0,1.71821801906638,0.971,0.965,0,"0","RPL37"
0,1.48977926262757,0.979,0.973,0,"0","RPL11"
0,1.74976919310974,0.989,0.984,0,"0","RPL30"
0,1.48405552038031,0.965,0.97,0,"0","RPL34"
0,1.26307547731985,0.98,0.984,0,"0","RPL28"
0,1.97068259080981,0.955,0.958,0,"0","S100A6"
0,1.51989815115495,0.933,0.931,0,"0","RPS4X"
0,1.71315352592319,0.973,0.971,0,"0","RACK1"
3.7761160005212e-306,6.16381212958706,0.349,0.017,2.22488754750709e-301,"0","LOC100134362"
1.57549962356893e-303,6.18630151382185,0.351,0.02,9.28284378206815e-299,"0","RPS2P53"
2.38727551490651e-302,1.16772559973597,0.895,0.955,1.40658273338291e-297,"0","EIF1"
8.72800215243109e-300,6.39536861899331,0.339,0.014,5.1425388682124e-295,"0","GAPDHP59"
1.19565949590395e-297,6.33889178534093,0.338,0.015,7.04482574986605e-293,"0","RPSAP28"
1.0422385976881e-296,1.60250945227394,0.758,0.79,6.1408698175783e-292,"0","RPL36AL"
1.60438047095348e-292,6.5308406574468,0.333,0.015,9.45300973485792e-288,"0","RPS20P26"
1.47821472688734e-291,5.78331490124558,0.352,0.028,8.70964117082023e-287,"0","TPT1P9"
6.79409567523097e-291,6.59912908905833,0.331,0.014,4.00308117184609e-286,"0","HSPA8P5"
1.07246276038288e-288,6.71416155120972,0.326,0.012,6.31895058417594e-284,"0","RPL7AP7"
6.49170668936966e-287,6.44184235097868,0.329,0.015,3.8249135813766e-282,"0","RPS2P1"
1.89603197565476e-286,6.57727818987003,0.328,0.014,1.11714204005579e-281,"0","EIF1P4"
4.01364368669274e-282,6.32302108266303,0.325,0.015,2.36483886019936e-277,"0","RPS4XP11"
9.6443224025901e-282,6.23846714567251,0.326,0.016,5.68243475960609e-277,"0","RPS2P24"
7.11256812102658e-278,6.70905627745434,0.316,0.012,4.19072513690886e-273,"0","RPS3AP44"
1.03870742288362e-275,6.50478451259864,0.32,0.016,6.12006413563026e-271,"0","RPS23P1"
2.83922653241419e-275,3.99642719816181,0.463,0.145,1.67287227289844e-270,"0","RBPJ"
7.50405189581314e-273,6.63451185918436,0.311,0.012,4.4213873770131e-268,"0","PRRX1"
2.1318965548617e-272,6.28385407568768,0.315,0.014,1.25611345012451e-267,"0","LOC124901354"
2.35541876575066e-271,6.13213624017571,0.312,0.013,1.38781273678029e-266,"0","RPL36P5"
5.40911062759886e-271,6.48879187950546,0.313,0.014,3.18704798178125e-266,"0","FTH1P2"
2.31511287201806e-270,3.82050273887398,0.467,0.156,1.36406450419304e-265,"0","RPS23P8"
4.09009408436744e-269,6.29826538556055,0.313,0.015,2.4098834345093e-264,"0","RPS27AP2"
4.81705438915831e-265,6.2291646185127,0.309,0.014,2.83820844609208e-260,"0","RPL23AP51"
5.13109973613758e-264,1.29272360743101,0.801,0.876,3.02324396453226e-259,"0","RPS27"
1.00558112494381e-263,5.98346414772202,0.319,0.022,5.92488398816891e-259,"0","RPL23AP2"
1.11113973010737e-263,6.19778530239333,0.308,0.015,6.5468352897926e-259,"0","RPL14P4"
2.19378685146989e-263,5.40997439944309,0.34,0.036,1.29257921288606e-258,"0","PTMAP2"
4.47333487681276e-260,1.15206885531602,0.812,0.891,2.63568890941808e-255,"0","RPL15"
1.44669787278157e-258,6.30628974478697,0.305,0.016,8.52394386642904e-254,"0","ATF4P3"
2.2781282816257e-258,6.63426519416133,0.302,0.014,1.34227318353386e-253,"0","PPIAP58"
8.07773442967806e-258,6.18935464953292,0.302,0.014,4.75940112596631e-253,"0","LOC100419768"
2.13304470856918e-257,6.01758041236977,0.305,0.016,1.25678994228896e-252,"0","RPL19P14"
9.28018527505418e-257,6.06936756745591,0.308,0.019,5.46788516406192e-252,"0","RPL18P13"
4.9476909102388e-256,6.14745671518513,0.305,0.017,2.9151794843127e-251,"0","HMGB1P24"
5.26522505134636e-254,6.71686976202819,0.294,0.011,3.10227060025327e-249,"0","RPL19P12"
7.9079046960034e-254,6.61137474699477,0.3,0.016,4.6593374468852e-249,"0","NPM1P44"
8.09944956762761e-253,2.37241670384382,0.632,0.501,4.77219568524619e-248,"0","CNBP"
7.47781032599574e-251,6.36554913186497,0.296,0.015,4.40592584407669e-246,"0","RPSAP29"
1.02483529196011e-246,6.20912820144275,0.29,0.013,6.03832954022896e-242,"0","RPS2P28"
4.57504632300077e-245,6.35061590851256,0.29,0.014,2.69561729351205e-240,"0","RPL27P10"
5.12136281026285e-243,6.48282892733752,0.285,0.013,3.01750696780687e-238,"0","RPS15P7"
2.96335742563233e-241,5.49249996833426,0.309,0.028,1.74601019518257e-236,"0","PTMAP5"
1.14487384313399e-239,5.29395713154395,0.315,0.033,6.74559668374549e-235,"0","RPL5P34"
3.57030580271531e-239,6.24305367813751,0.286,0.015,2.10362417895986e-234,"0","RPL26P36"
6.6372364220716e-239,2.57431897325873,0.603,0.448,3.91065969988459e-234,"0","SF3B1"
3.76001027017927e-234,4.97723128069331,0.327,0.046,2.21539805118963e-229,"0","EIF3EP3"
6.10182161613315e-233,6.18328287352633,0.277,0.013,3.59519329622565e-228,"0","EEF1A1P16"
2.48775976990349e-232,5.58725835139159,0.296,0.025,1.46578805642714e-227,"0","UQCRHL"
5.63026365187099e-231,6.81398163132702,0.269,0.01,3.31735134368239e-226,"0","COX6CP6"
1.9898610926731e-230,5.17740962191738,0.312,0.037,1.17242615580299e-225,"0","RPS27AP5"
2.95653700000121e-229,6.32502739902509,0.276,0.014,1.74199160040071e-224,"0","RPL26P30"
2.94976448042511e-227,6.18153134277788,0.272,0.013,1.73800123186647e-222,"0","TPT1P6"
1.31759494470371e-224,6.83445060587289,0.263,0.01,7.76326941419427e-220,"0","UBA52P4"
4.19069745519268e-221,6.0916336937253,0.269,0.015,2.46915894059953e-216,"0","EMP3"
4.23073718212361e-221,3.47787889358979,0.45,0.183,2.49275034770723e-216,"0","NDUFA6"
4.39860273302177e-220,5.65442040772152,0.28,0.022,2.59165673029643e-215,"0","RPS17P16"
1.24650734523811e-218,1.2805696219582,0.771,0.874,7.34442127814297e-214,"0","CALM1"
3.89961979890019e-218,1.86321184795674,0.667,0.651,2.29765598551199e-213,"0","EIF3A"
